Brand,Number,Name,Link,Image Address,LocalImage,Color,Finish
DND,243,Imperial Jade,https://www.dndgel.com/products/imperial-jade-diva-243,https://www.dndgel.com/cdn/shop/files/DV-243-HS-SYD-3.jpg?v=1755192707&width=823,public/images/243-Imperial_Jade.jpg,Green,Cream
DND,140,Little Piggy,https://www.dndgel.com/products/little-piggy-diva-140,https://www.dndgel.com/cdn/shop/files/DV-140-HS-4.jpg?v=1755193125&width=823,public/images/140-Little_Piggy.jpg,Pink,Cream
DND,920,Magenta Aura,https://www.dndgel.com/products/magenta-aura-920,https://www.dndgel.com/cdn/shop/products/920-DND.jpg?v=1755193242&width=1346,public/images/920-Magenta_Aura.jpg,"Pink, Purple",Glitter
DND,204,Marigold,https://www.dndgel.com/products/marigold-diva-204,https://www.dndgel.com/cdn/shop/files/DV-204-HS.jpg?v=1755192928&width=823,public/images/204-Marigold.jpg,Yellow,Cream
DND,19,Bridal Pink,https://www.dndgel.com/products/dc-mood-change-19-bridal-pink-to-brighter-pink,https://www.dndgel.com/cdn/shop/products/19.jpg?v=1762198583&width=823,public/images/19-Bridal_Pink.jpg,"Pink, Purple",Mood Change
DND,440,Papaya Whip,https://www.dndgel.com/products/papaya-whip-440,https://www.dndgel.com/cdn/shop/files/DND-440-SWATCH_3.png?v=1756936557&width=1346,public/images/440-Papaya_Whip.png,Neutral,Cream
DND,490,Redwood City,https://www.dndgel.com/products/redwood-city-490,https://www.dndgel.com/cdn/shop/products/redwood-city-490.jpg?v=1757029697&width=1346,public/images/490-Redwood_City.jpg,"Red, Brown",Cream
DND,753,Scarlett Dreams,https://www.dndgel.com/products/scarlett-dreams-753,https://www.dndgel.com/cdn/shop/files/DND-753-SWATCH_2.png?v=1755195231&width=823,public/images/753-Scarlett_Dreams.png,Red,Cream
DND,781,Starry Night,https://www.dndgel.com/products/starry-night-781,https://www.dndgel.com/cdn/shop/files/DND-781-SWATCH.png?v=1755195266&width=823,public/images/781-Starry_Night.png,"Yellow, Gold",Glitter
DND,210,Sunkissed Coral,https://www.dndgel.com/products/sunkissed-coral-diva-210,https://www.dndgel.com/cdn/shop/files/DV-210-FS.png?v=1755192919&width=823,public/images/210-Sunkissed_Coral.png,"Orange, Pink",Cream
DND,254,Vampire Kiss,https://www.dndgel.com/products/vampire-s-kiss-diva-254,https://www.dndgel.com/cdn/shop/files/DIVA-254-NAILART.webp?v=1764189647&width=823,public/images/254-Vampire_Kiss.webp,Purple,Cream
DND,754,Winter Berry,https://www.dndgel.com/products/winter-berry-754,https://www.dndgel.com/cdn/shop/files/DND-754-SWATCH.png?v=1755195233&width=823,public/images/754-Winter_Berry.png,"Red, Purple",Cream
DND,41,With GRAYce,https://www.dndgel.com/products/with-grayce-diva-041,https://www.dndgel.com/cdn/shop/files/DIVA-041-SWATCH_2.jpg?v=1755192576&width=823,public/images/41-With_GRAYce.jpg,"Neutral, Grey",Cream
DND,929,Orange Aura,https://www.dndgel.com/products/orange-aura-929,https://www.dndgel.com/cdn/shop/products/929-DND_281c3eab-89b2-41ad-97b2-02ce88cfee21.jpg?v=1755193257&width=823,public/images/929-Orange_Aura.jpg,Orange,Glitter
DND,25,Chunky Holo,https://www.dndgel.com/products/chunky-holo-diva-025,https://www.dndgel.com/cdn/shop/files/DIVA-25-FS.jpg?v=1755193080&width=823,public/images/25-Chunky_Holo.jpg,Grey,Glitter
DND,219,Tulip,https://www.dndgel.com/products/dc-mermaid-219-tulip,https://www.dndgel.com/cdn/shop/products/219.jpg?v=1762198560&width=823,public/images/219-Tulip.jpg,Pink,Glitter
DND,36,Sultry Gem,https://www.dndgel.com/products/sultry-gem-diva-036,https://www.dndgel.com/cdn/shop/files/DIVA-036-SWATCH.jpg?v=1755193063&width=823,public/images/36-Sultry_Gem.jpg,"Purple, Red",Glitter
DND,21,Japanese Bobtail,https://www.dndgel.com/products/dc-cat-eyes-21-japanese-bobtail,https://www.dndgel.com/cdn/shop/products/cateyes21-1.jpg?v=1762198675&width=823,public/images/21-Japanese_Bobtail.jpg,Orange,Cat Eye
DND,17,Shy Snowshoe,https://www.dndgel.com/products/dc-cat-eyes-17-shy-snowshoe,https://www.dndgel.com/cdn/shop/products/cateyes17-1.jpg?v=1762197948&width=823,public/images/17-Shy_Snowshoe.jpg,Purple,Cat Eye
DND,12,Ragdoll,https://www.dndgel.com/products/5d-ragdoll-12,https://www.dndgel.com/cdn/shop/products/5DCateye12.jpg?v=1762198561&width=823,public/images/12-Ragdoll.jpg,"Red, Orange",Cat Eye
DND,10,Siamese Cat,https://www.dndgel.com/products/5d-siamese-cat-10,https://www.dndgel.com/cdn/shop/products/5DCateye10.jpg?v=1762197914&width=823,public/images/10-Siamese_Cat.jpg,Blue,Cat Eye
DND,26,Cleocatra,https://www.dndgel.com/products/creamy-26-cleocatra,https://www.dndgel.com/cdn/shop/products/ce-26.jpg?v=1755193453&width=823,public/images/26-Cleocatra.jpg,"Red, Orange",Cat Eye
